 ,TOTAL,Country Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Algeria,Azerbaijan,Argentina,Australia,Armenia,Brazil,Belarus,Chile,Taiwan,Colombia,Cyprus,Ecuador,Estonia,Georgia,Palestine,Germany,Ghana,Haiti,Hong Kong,India,Iraq,Japan,Kazakhstan,South Korea,Kyrgyzstan,Lebanon,Libya,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Pakistan,Peru,Philippines,Poland,Romania,Russia,Rwanda,Slovenia,South Africa,Zimbabwe,Spain,Sweden,Thailand,Trinidad and Tobago,Tunisia,Turkey,Ukraine,Egypt,United States,Uruguay,Uzbekistan,Yemen
Left,"5,6","1,8","3,1","1,7",4,"3,9","12,4","1,1",4,"7,2","4,6","10,2","6,7","2,8","3,6","3,7","2,8","10,5","56,1","4,1",5,"2,8","1,3","4,9","3,9","5,1","1,4","6,1","1,4","8,5",1,"1,8","1,5","7,1","1,1","4,9","7,1","4,1","7,7",4,"3,8","4,9","2,2","10,5","3,8","6,5","4,1","3,1","1,8","4,3","3,9","2,7","1,9","11,3","0,7","1,6"
2,"2,9","0,9","3,1","2,1",4,"2,1","2,3","2,4","1,9","3,5","1,6","5,7",6,"2,9","3,1","2,6","3,5","7,6","6,2","1,7",3,"4,5","1,4","1,1",4,"1,5","2,4","1,7","0,4","1,9","1,1","4,9","2,5",6,"0,6","2,6","0,8","2,2","3,6","2,1","4,8","3,8","2,2","5,4",5,"4,5","1,3",1,"0,2","2,5",3,"4,1","2,9","6,4","0,7","0,5"
3,"5,4","1,8","4,7","6,1","8,8","2,5","4,4",4,"6,9","13,8",3,"7,5",6,"5,9","4,3","4,3","11,5","8,2","4,3","2,9",6,"6,3","6,2","1,7","9,9","2,7","3,2","2,9","1,8","3,4","1,4",10,"8,8","7,1","1,7","4,2","1,6","6,7","2,9","3,8","5,4","5,8","3,5","9,9","14,8",12,"1,5","1,7","2,7","5,9","5,2","6,1","6,3","11,8","1,1",2
4,"6,3","3,5","5,9","7,5","7,5","3,8","3,7",6,"10,3","12,8","3,8","5,4","6,6","8,8","3,9","5,1","11,6","5,7","3,6","3,6","9,8","5,8",8,3,"14,6","3,4","4,2","3,5","3,1","3,8","1,1","10,4","7,3","10,1","5,4","6,4","3,1","5,1",4,"2,9","11,1","4,6","6,2","9,7",14,"11,3","4,7","1,3","2,6","4,6","5,5","5,6",7,"11,8","1,1","0,8"
5,"24,3","12,7","34,6","30,9","40,9",21,"29,3","53,4","23,9","32,3","28,1","24,5","28,8","26,7","26,4","16,4","29,8","25,4","16,3","50,5","22,3","11,8","21,9","32,8","25,1","21,9","12,6","18,8","22,8","27,1","5,4","13,9","16,4","15,5","9,1","33,2","26,9","29,4","21,7","19,5","27,2","24,7","17,2",26,"25,2","17,8","45,6",15,"33,2","12,6","41,8","24,5","33,5","22,7","13,9","11,8"
6,"11,4","6,2",12,"12,1","10,6","5,3","6,7","11,6","8,9","11,2","8,1","6,8","12,1","14,4","4,9","10,3","14,2","8,1","3,2","17,5","11,5","8,3","13,4","20,7","12,3","11,3","11,4","10,7","28,4","9,6","1,8","13,7","9,6","14,2","12,2","11,4","11,1","8,3","8,3","10,7","21,9","7,5","16,4","7,9","8,1","7,7","13,7","9,1","5,4","15,6","19,9","19,2","16,4","4,7","5,4","1,5"
7,"8,5","7,4","14,7","8,4",6,"5,4","2,9","6,4","6,4","5,2","7,5","6,4","6,2","9,8","8,4","11,2","8,7","8,3","2,4","6,9","10,6","13,5","8,1","9,8","12,9","13,7","10,4","4,5","11,9","6,6","1,6","17,1","9,4","15,2","14,5","8,5","5,8","7,4","5,5","5,5","12,1","4,2","14,6","6,4","7,5","10,9","6,3","5,2","4,3",13,"5,8","11,8","8,9","5,1","4,5",1
8,8,"5,6",12,"6,1","7,1","6,7","4,6","5,2","4,7","2,6","9,1","4,9","6,8","7,8","7,5","8,5","4,1","9,3","1,3","5,9","9,5","12,5","6,1","9,2","10,3","17,3",12,"3,5","12,5","10,2","2,3","12,1","9,3","12,3","21,2","5,5","7,6",5,"6,4",6,"7,2","3,8","13,6","7,7","6,4","12,8","5,3","7,5","3,8","12,7","6,5","9,2","8,8","6,8","3,1","1,4"
9,"4,2","2,3","4,5","2,4","2,5","3,2","1,8","3,4","2,4","0,7","5,6","2,3","7,5","2,8","2,6","5,3","1,1","7,8","1,5","1,9","5,5","11,2","3,1","6,1","3,8","8,7","5,7","1,9","4,5","5,6","0,6","2,3","2,3","6,6","17,3","1,8","4,3","1,9","2,6","2,3","4,2","2,2",5,"5,4","0,9","4,5","4,3","4,1","1,4",8,"3,7","5,4","5,6","2,3","6,1",1
Right,"6,8","3,2","5,5","2,5","4,7","4,9","12,6","2,5","1,5","2,4","11,1","10,3","8,3","1,5","4,5","5,6","1,9","9,1","2,8","2,7",6,"4,7","2,9","10,7","2,8","11,8","6,4","11,8","13,2","18,6","1,2","1,5","4,3",6,"16,9","7,2","30,9","7,5","10,1","2,4","2,2","3,1","6,3",11,"1,4","5,6","12,4","8,2","3,9","10,9","4,9","11,5","5,4","5,4","4,4","3,6"
"DE,SE:Inapplicable ; RU:Inappropriate response; HT: Dropped out survey","0,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,1",0,"2,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,6",0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0
Not applicable,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No answer,"4,7","15,7",0,"12,6","3,8","2,2","3,2",0,13,"0,7","5,5","0,6","1,1","2,1","5,2","5,5","3,4",0,0,"2,3","10,8","1,7",0,0,"0,4","1,3","16,4",6,0,"1,2","25,5","0,4","4,6",0,0,"2,9","0,4","1,6","7,3",4,0,"14,1",0,0,"7,1","2,5","0,9",0,"5,4","4,7",0,0,"3,3","3,3",59,"7,3"
DonÂ´t know,"11,7","38,9",0,"7,8",0,"39,1","16,2","3,9","16,1","7,5","11,8","15,4","3,7","14,4","25,7","21,5","6,1",0,"0,3",0,0,"16,8","27,5",0,0,"1,3","13,8","28,6",0,"3,4","57,1","11,8",24,0,0,"11,5","0,4","20,8","19,9","32,4",0,"21,2",13,0,"5,8","3,3",0,"43,7","35,2",5,0,0,0,"8,4",0,"67,5"
(N),"81,732","1,2","1,002","1,03","1,477","1,1","1,486","1,535",1,"1,238","1,512",1,"1,202","1,533","1,202",1,"2,046","1,552","1,996",1,"4,078","1,2","2,443","1,502","1,2","1,5","1,2","2,131","1,3",2,"1,2","1,902",841,"1,759","1,2","1,21","1,2",966,"1,503","2,5","1,527","1,069","3,531","1,499","1,189","1,206","1,2",999,"1,205","1,605","1,5","1,523","2,232",1,"1,5",1
Mean,"5,66","6,03","5,86","5,45","5,25","5,72","5,34","5,42","5,1","4,61","6,16","5,2","5,56","5,43","5,59","5,97","5,02","5,42","2,71","5,4","5,7","6,2","5,61","6,17","5,36","6,55","6,43","5,89","6,6","6,25","5,51","5,55","5,68","5,67","7,44","5,53","6,82","5,53","5,66","5,48","5,44","5,07","6,25","5,33","4,76","5,42","5,94","6,41","5,58","6,39","5,49","6,08","5,76","4,68","6,52","5,67"
Standard Deviation,"2,35","2,12","2,04","1,81","2,02","2,35","2,81","1,6","1,96","1,89","2,42","2,71","2,49","1,88","2,22","2,32","1,79","2,71","2,44","1,68","2,3","2,4","1,9","2,17","2,07","2,34","2,18","2,65","1,92","2,72","2,35","2,04","2,16","2,45","2,01","2,17","2,75","2,26","2,68","2,14","1,94","2,2","2,07","2,69","1,92","2,46","2,16","2,4","1,85","2,42","1,93","2,27",2,"2,49","2,14","2,46"
Base mean,"68,091",545,"1,002",820,"1,421",646,"1,199","1,476",709,"1,137","1,25",841,"1,141","1,28",831,730,"1,829","1,552","1,945",977,"3,636",978,"1,77","1,502","1,195","1,461",837,"1,393","1,3","1,907",209,"1,669",600,"1,759","1,2","1,036","1,19",750,"1,094","1,475","1,527",691,"3,073","1,499","1,035","1,13","1,189",562,716,"1,449","1,5","1,523","2,158",883,615,252